"variable","iso3c","year","value","indicator_sdg"
"SI.POV.DDAY","BRB",2025,1.4686,"1.1.1"
"SI.POV.DDAY","BTN",2010,0.3,"1.1.1"
"SI.POV.DDAY","BTN",2011,0,"1.1.1"
"SI.POV.DDAY","BTN",2012,0,"1.1.1"
"SI.POV.DDAY","BTN",2013,0,"1.1.1"
"SI.POV.DDAY","BTN",2014,0,"1.1.1"
"SI.POV.DDAY","BTN",2015,0,"1.1.1"
"SI.POV.DDAY","BTN",2016,0,"1.1.1"
"SI.POV.DDAY","BTN",2017,0,"1.1.1"
"SI.POV.DDAY","BTN",2018,0,"1.1.1"
"SI.POV.DDAY","BTN",2019,0,"1.1.1"
"SI.POV.DDAY","BTN",2020,0,"1.1.1"
"SI.POV.DDAY","BTN",2021,0,"1.1.1"
"SI.POV.DDAY","BTN",2022,0.007,"1.1.1"
"SI.POV.DDAY","BTN",2023,0.007,"1.1.1"
"SI.POV.DDAY","BTN",2024,0.007,"1.1.1"
"SI.POV.DDAY","BTN",2025,0.003,"1.1.1"
"SI.POV.DDAY","BWA",2010,20.8,"1.1.1"
"SI.POV.DDAY","BWA",2011,20.9,"1.1.1"
"SI.POV.DDAY","BWA",2012,20.3,"1.1.1"
"SI.POV.DDAY","BWA",2013,19.6,"1.1.1"
"SI.POV.DDAY","BWA",2014,20.3,"1.1.1"
"SI.POV.DDAY","BWA",2015,20.8,"1.1.1"
"SI.POV.DDAY","BWA",2016,21.3,"1.1.1"
"SI.POV.DDAY","BWA",2017,21.3,"1.1.1"
"SI.POV.DDAY","BWA",2018,20.3,"1.1.1"
"SI.POV.DDAY","BWA",2019,19.8,"1.1.1"
"SI.POV.DDAY","BWA",2020,19.6,"1.1.1"
"SI.POV.DDAY","BWA",2021,19.4,"1.1.1"
"SI.POV.DDAY","BWA",2022,19.0415,"1.1.1"
"SI.POV.DDAY","BWA",2023,18.551,"1.1.1"
"SI.POV.DDAY","BWA",2024,19.4511,"1.1.1"
"SI.POV.DDAY","BWA",2025,20.1425,"1.1.1"
"SI.POV.DDAY","CAF",2010,63.9,"1.1.1"
"SI.POV.DDAY","CAF",2011,63.1,"1.1.1"
"SI.POV.DDAY","CAF",2012,62,"1.1.1"
"SI.POV.DDAY","CAF",2013,75.2,"1.1.1"
"SI.POV.DDAY","CAF",2014,75.1,"1.1.1"
"SI.POV.DDAY","CAF",2015,73.9,"1.1.1"
"SI.POV.DDAY","CAF",2016,73.1,"1.1.1"
"SI.POV.DDAY","CAF",2017,72.3,"1.1.1"
"SI.POV.DDAY","CAF",2018,71.7,"1.1.1"
"SI.POV.DDAY","CAF",2019,71.1,"1.1.1"
"SI.POV.DDAY","CAF",2020,71.2,"1.1.1"
"SI.POV.DDAY","CAF",2021,71.6174,"1.1.1"
"SI.POV.DDAY","CAF",2022,68.87,"1.1.1"
"SI.POV.DDAY","CAF",2023,68.5085,"1.1.1"
"SI.POV.DDAY","CAF",2024,67.7567,"1.1.1"
"SI.POV.DDAY","CAF",2025,67.0595,"1.1.1"
"SI.POV.DDAY","CAN",2010,0.3,"1.1.1"
"SI.POV.DDAY","CAN",2011,0.3,"1.1.1"
"SI.POV.DDAY","CAN",2012,0.3,"1.1.1"
"SI.POV.DDAY","CAN",2013,0.5,"1.1.1"
"SI.POV.DDAY","CAN",2014,0.3,"1.1.1"
"SI.POV.DDAY","CAN",2015,0.4,"1.1.1"
"SI.POV.DDAY","CAN",2016,0.4,"1.1.1"
"SI.POV.DDAY","CAN",2017,0.4,"1.1.1"
"SI.POV.DDAY","CAN",2018,0.4,"1.1.1"
"SI.POV.DDAY","CAN",2019,0.4,"1.1.1"
"SI.POV.DDAY","CAN",2020,0.1,"1.1.1"
"SI.POV.DDAY","CAN",2021,0.2,"1.1.1"
"SI.POV.DDAY","CAN",2022,0.3,"1.1.1"
"SI.POV.DDAY","CAN",2023,0.3,"1.1.1"
"SI.POV.DDAY","CAN",2024,0.3,"1.1.1"
"SI.POV.DDAY","CAN",2025,0.3,"1.1.1"
"SI.POV.DDAY","CHE",2010,0.1,"1.1.1"
"SI.POV.DDAY","CHE",2011,0,"1.1.1"
"SI.POV.DDAY","CHE",2012,0,"1.1.1"
"SI.POV.DDAY","CHE",2013,0,"1.1.1"
"SI.POV.DDAY","CHE",2014,0,"1.1.1"
"SI.POV.DDAY","CHE",2015,0,"1.1.1"
"SI.POV.DDAY","CHE",2016,0,"1.1.1"
"SI.POV.DDAY","CHE",2017,0,"1.1.1"
"SI.POV.DDAY","CHE",2018,0,"1.1.1"
"SI.POV.DDAY","CHE",2019,0,"1.1.1"
"SI.POV.DDAY","CHE",2020,0.1,"1.1.1"
"SI.POV.DDAY","CHE",2021,0,"1.1.1"
"SI.POV.DDAY","CHE",2022,0.2,"1.1.1"
"SI.POV.DDAY","CHE",2023,0.2,"1.1.1"
"SI.POV.DDAY","CHE",2024,0.2,"1.1.1"
"SI.POV.DDAY","CHE",2025,0.2,"1.1.1"
"SI.POV.DDAY","CHL",2010,2.1,"1.1.1"
"SI.POV.DDAY","CHL",2011,1.7,"1.1.1"
"SI.POV.DDAY","CHL",2012,1.1,"1.1.1"
"SI.POV.DDAY","CHL",2013,0.8,"1.1.1"
"SI.POV.DDAY","CHL",2014,0.7,"1.1.1"
"SI.POV.DDAY","CHL",2015,0.7,"1.1.1"
"SI.POV.DDAY","CHL",2016,0.6,"1.1.1"
"SI.POV.DDAY","CHL",2017,0.5,"1.1.1"
"SI.POV.DDAY","CHL",2018,0.8,"1.1.1"
"SI.POV.DDAY","CHL",2019,1.2,"1.1.1"
"SI.POV.DDAY","CHL",2020,1.7,"1.1.1"
"SI.POV.DDAY","CHL",2021,1,"1.1.1"
"SI.POV.DDAY","CHL",2022,0.6,"1.1.1"
"SI.POV.DDAY","CHL",2023,0.5,"1.1.1"
"SI.POV.DDAY","CHL",2024,0.4,"1.1.1"
"SI.POV.DDAY","CHL",2025,0.4,"1.1.1"
"SI.POV.DDAY","CHN",2010,15,"1.1.1"
"SI.POV.DDAY","CHN",2011,10,"1.1.1"
"SI.POV.DDAY","CHN",2012,7.7,"1.1.1"
"SI.POV.DDAY","CHN",2013,6.2,"1.1.1"
"SI.POV.DDAY","CHN",2014,4.7,"1.1.1"
"SI.POV.DDAY","CHN",2015,3,"1.1.1"
"SI.POV.DDAY","CHN",2016,2.2,"1.1.1"
"SI.POV.DDAY","CHN",2017,1.7,"1.1.1"
"SI.POV.DDAY","CHN",2018,0.8,"1.1.1"
"SI.POV.DDAY","CHN",2019,0,"1.1.1"
"SI.POV.DDAY","CHN",2020,0,"1.1.1"
"SI.POV.DDAY","CHN",2021,0,"1.1.1"
"SI.POV.DDAY","CHN",2022,0,"1.1.1"
"SI.POV.DDAY","CHN",2023,0,"1.1.1"
"SI.POV.DDAY","CHN",2024,0,"1.1.1"
"SI.POV.DDAY","CHN",2025,0,"1.1.1"
"SI.POV.DDAY","CIV",2010,27.4,"1.1.1"
"SI.POV.DDAY","CIV",2011,31.5,"1.1.1"
"SI.POV.DDAY","CIV",2012,30.7,"1.1.1"
"SI.POV.DDAY","CIV",2013,28.3,"1.1.1"
"SI.POV.DDAY","CIV",2014,26.8,"1.1.1"
"SI.POV.DDAY","CIV",2015,26.3,"1.1.1"
"SI.POV.DDAY","CIV",2016,24.8,"1.1.1"
"SI.POV.DDAY","CIV",2017,23.3,"1.1.1"
"SI.POV.DDAY","CIV",2018,22.5,"1.1.1"
"SI.POV.DDAY","CIV",2019,21.2,"1.1.1"
"SI.POV.DDAY","CIV",2020,22.5,"1.1.1"
"SI.POV.DDAY","CIV",2021,20.8261,"1.1.1"
"SI.POV.DDAY","CIV",2022,20.0052,"1.1.1"
"SI.POV.DDAY","CIV",2023,19.9319,"1.1.1"
"SI.POV.DDAY","CIV",2024,19.4318,"1.1.1"
"SI.POV.DDAY","CIV",2025,16.0974,"1.1.1"
"SI.POV.DDAY","CMR",2010,33,"1.1.1"
"SI.POV.DDAY","CMR",2011,37.7,"1.1.1"
"SI.POV.DDAY","CMR",2012,35,"1.1.1"
"SI.POV.DDAY","CMR",2013,31.8,"1.1.1"
