"year","region","rate","pop"
2005,"East Asia & Pacific",23.3939865740592,2134675429
2005,"Europe & Central Asia",3.87594256133344,875563919
2005,"Latin America & Caribbean",13.0969172141241,555120780
2005,"Middle East, North Africa, Afghanistan & Pakistan",17.9995717622487,556210211
2005,"North America",0.930962554708265,327822042
2005,"South Asia",39.4435808024324,1346886384
2005,"Sub-Saharan Africa",52.1636188106829,779665113
2006,"East Asia & Pacific",22.4686141693264,2150788936
2006,"Europe & Central Asia",3.04625193572393,878166933
2006,"Latin America & Caribbean",10.8119440901892,561751999
2006,"Middle East, North Africa, Afghanistan & Pakistan",16.8773000655157,569898499
2006,"North America",1.02107259326019,331013939
2006,"South Asia",37.0180098104463,1367187349
2006,"Sub-Saharan Africa",51.1682558948141,801269368
2007,"East Asia & Pacific",19.9696975648817,2167151565
2007,"Europe & Central Asia",2.5287760377531,880656346
2007,"Latin America & Caribbean",10.1177638264925,568345245
2007,"Middle East, North Africa, Afghanistan & Pakistan",16.0312249359491,583743828
2007,"North America",0.921078838028504,334183103
2007,"South Asia",34.6199967374298,1386949456
2007,"Sub-Saharan Africa",50.1092907470655,823564883
2008,"East Asia & Pacific",18.6474599857683,2183564415
2008,"Europe & Central Asia",2.03946566969411,884224673
2008,"Latin America & Caribbean",9.44089740456247,574908733
2008,"Middle East, North Africa, Afghanistan & Pakistan",14.0024453399434,597799097
2008,"North America",1.01110909157708,337404564
2008,"South Asia",33.4268823324478,1406047164
2008,"Sub-Saharan Africa",49.1641889962006,846656872
2009,"East Asia & Pacific",16.9386374105407,2199243719
2009,"Europe & Central Asia",1.95881080530494,887741128
2009,"Latin America & Caribbean",8.94494908949199,581388129
2009,"Middle East, North Africa, Afghanistan & Pakistan",14.7578405977212,612128501
2009,"North America",0.930671386634644,340465163
2009,"South Asia",31.302502261167,1425370200
2009,"Sub-Saharan Africa",48.5744168909875,870347292
2010,"East Asia & Pacific",14.947884689261,2214699483
2010,"Europe & Central Asia",1.93761595697424,890990371
2010,"Latin America & Caribbean",7.99089739423569,587752505
2010,"Middle East, North Africa, Afghanistan & Pakistan",13.0697789775854,624828664
2010,"North America",1.0205871239772,343447854
2010,"South Asia",28.0746161315475,1444967010
2010,"Sub-Saharan Africa",46.9447788158489,894666657
2011,"East Asia & Pacific",11.5909035309852,2230919175
2011,"Europe & Central Asia",1.76184351659738,893009595
2011,"Latin America & Caribbean",7.2600448419805,594086829
2011,"Middle East, North Africa, Afghanistan & Pakistan",12.8789755485402,639053870
2011,"North America",1.02045790874581,346242415
2011,"South Asia",25.5836957326127,1464372623
2011,"Sub-Saharan Africa",46.2297241999208,919528126
2012,"East Asia & Pacific",9.64756734287019,2249165607
2012,"Europe & Central Asia",1.66251861796247,896554203
2012,"Latin America & Caribbean",7.00210232206733,600420316
2012,"Middle East, North Africa, Afghanistan & Pakistan",12.2474480272382,653273442
2012,"North America",1.02025550540287,349116140
2012,"South Asia",23.3970707528574,1483553073
2012,"Sub-Saharan Africa",45.1834271959931,944970310
2013,"East Asia & Pacific",8.57639831031099,2267144764
2013,"Europe & Central Asia",1.60953634031439,899985362
2013,"Latin America & Caribbean",6.33743512684123,606683307
2013,"Middle East, North Africa, Afghanistan & Pakistan",11.4907815060817,667464006
2013,"North America",1.03998397144852,351870848
2013,"South Asia",21.0794715120415,1501661991
2013,"Sub-Saharan Africa",44.3110318741404,971232906
2014,"East Asia & Pacific",7.33939170785902,2284466322
2014,"Europe & Central Asia",1.48647265863999,903676408
2014,"Latin America & Caribbean",5.84064892376868,612849401
2014,"Middle East, North Africa, Afghanistan & Pakistan",11.2406208747424,680716578
2014,"North America",1.19988582855124,354755155
2014,"South Asia",18.3202701998788,1519839246
2014,"Sub-Saharan Africa",43.6218972098808,997961037
2015,"East Asia & Pacific",5.94890378705802,2300911961
2015,"Europe & Central Asia",1.47407117620614,907676898
2015,"Latin America & Caribbean",5.8440217210487,618868462
2015,"Middle East, North Africa, Afghanistan & Pakistan",11.1789247968059,694232973
2015,"North America",1.11990918496555,357583083
2015,"South Asia",15.4666383930363,1537370078
2015,"Sub-Saharan Africa",43.5180764493078,1025251114
2016,"East Asia & Pacific",4.85473854008965,2317153839
2016,"Europe & Central Asia",1.2966814838148,911765648
2016,"Latin America & Caribbean",6.20433817087862,624737786
2016,"Middle East, North Africa, Afghanistan & Pakistan",11.0432661534848,707023525
2016,"North America",1.11966177526296,360527592
2016,"South Asia",12.8497967314074,1555111864
2016,"Sub-Saharan Africa",43.7831620942766,1052824144
2017,"East Asia & Pacific",3.98369667395057,2333555998
2017,"Europe & Central Asia",1.15256797663287,915290996
2017,"Latin America & Caribbean",6.1650731535592,630414986
2017,"Middle East, North Africa, Afghanistan & Pakistan",10.8822159973978,718887744
2017,"North America",1.20922077068022,363217262
2017,"South Asia",10.8040515919479,1572520427
2017,"Sub-Saharan Africa",43.8944493235443,1080941647
2018,"East Asia & Pacific",3.08648385857743,2347661356
2018,"Europe & Central Asia",1.04205056447286,918947897
2018,"Latin America & Caribbean",6.0963127665768,635778081
2018,"Middle East, North Africa, Afghanistan & Pakistan",10.9365044981359,730362334
2018,"North America",1.02884105222375,365666028
2018,"South Asia",9.10963304059367,1589164714
